Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,244897472,3141.910372139238,2986735,38.318295402131696,495418,4970435,63.768160418348025,49691,0.6375103304535991,8722,
United States of America,Americas,45361805,13704.363,495336,149.647,102877,734447,221.886,9214,2.784,1935
India,South-East Asia,34231809,2480.558,104359,7.562,16156,456386,33.071,3575,0.259,733
Brazil,Americas,21748984,10231.955,84105,39.568,13424,606246,285.212,2391,1.125,442
The United Kingdom,Europe,8897153,13106.02,307412,452.836,43922,140041,206.288,1010,1.488,207
Russian Federation,Europe,8392697,5751.004,261533,179.213,40096,235057,161.07,7668,5.254,1159
Turkey,Europe,7936007,9409.645,191868,227.496,26896,69769,82.724,1495,1.773,210
France,Europe,6917770,10636.283,36417,55.992,6437,115198,177.12,191,0.294,32
Iran (Islamic Republic of),Eastern Mediterranean,5888100,7010.231,66363,79.01,10644,125716,149.674,1131,1.347,197
Argentina,Americas,5283000,11689.146,8234,18.219,1415,115866,256.365,129,0.285,15
Spain,Europe,5006675,10577.643,11340,23.958,1249,87289,184.416,81,0.171,1
Colombia,Americas,4994014,9814.721,10487,20.61,1428,127133,249.854,223,0.438,34
Italy,Europe,4752368,7968.225,26481,44.4,4595,131954,221.245,266,0.446,50
Germany,Europe,4534452,5452.244,116744,140.373,28037,95485,114.812,610,0.733,126
Indonesia,South-East Asia,4242532,1551.066,4698,1.718,723,143333,52.402,213,0.078,34
Mexico,Americas,3788986,2938.73,26297,20.396,4538,286888,222.51,1963,1.522,392
Poland,Europe,2998891,7900.522,42684,112.45,8382,76773,202.257,473,1.246,101
South Africa,Africa,2920581,4924.373,2735,4.611,472,89049,150.145,295,0.497,62
Ukraine,Europe,2851804,6520.83,150204,343.451,26071,66204,151.38,3815,8.723,576
Philippines,Western Pacific,2768849,2526.758,33544,30.611,3218,42348,38.645,1371,1.251,271
Malaysia,Western Pacific,2448372,7564.642,40990,126.645,6148,28674,88.593,536,1.656,98
Peru,Americas,2197052,6663.417,5881,17.836,793,200118,606.936,190,0.576,35
Netherlands,Europe,2100866,12068.682,41409,237.879,7301,18357,105.454,86,0.494,17
Iraq,Eastern Mediterranean,2050652,5098.272,10417,25.898,1412,23061,57.334,225,0.559,37
Thailand,South-East Asia,1884973,2700.535,63394,90.822,9658,19006,27.229,447,0.64,84
Czechia,Europe,1747701,16342.912,28852,269.798,5824,30689,286.976,95,0.888,9
Japan,Western Pacific,1717709,1358.125,1972,1.559,342,18228,14.412,71,0.056,7
Canada,Americas,1704374,4515.837,16757,44.399,1787,28840,76.413,237,0.628,35
Chile,Americas,1686318,8821.408,12092,63.255,1710,37697,197.199,69,0.361,6
